record,date,DATE2,WEIGHT,QS1,HIDWARD,neighbourhood,gender,QS3,age,concerned (0.5),Q1r2,informed (0.2),Q3,Q3_R1,Q3_R2,Q3_R3,Q3_R4,Q3_R5,Q4,Q5r1,Q5r2,Q5r3,Q5r5,toronto_action (0.1),Q7,dont_know_how,reduce_emissions,health_threat (0.2),Q8r4,Q8r5,cant_make_difference,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q9r7,energy_efficient,reduce_consumption,drive_less,electric_vehicle,less_meat,reduce_waste,green_products,walk,waste_bins,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,care,care_binary,takes_action,takes_action_binary,home_ownership,QD3r1,noanswerD3_r99,children,noanswerD4_r99,education,income,vdecLang
42,10/10/2018 22:05,10,0.614390000000,M6A,Ward 13,Eglinton-Lawrence,Man,1992,26,75,Very concerned,75,Hear wave,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),Provincial,Federal,NO TO: None of the above,100,No,75,75,100,75,75,75,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,No impact,A significant impact,80,60,60,60,60,80,100,60,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Streamlining recycling/compost programs,Segregation,NO TO: Toronto.ca website,City of Toronto events,Twitter,NO TO: Facebook,Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,82.5,1,72.55,1,Rent,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"$40,001 to $60,000",English (USA)
43,10/10/2018 22:23,10,0.677169000000,m1w,Ward 43,Scarborough-Agincourt,Man,1988,30,75,Very concerned,75,"hotter, warmer in winter, less snow",Warm temperatures in Fall/Winter seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,67,Don’t know,50,75,75,75,75,75,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,A significant impact,A significant impact,Not much of an impact,Somewhat of an impact,60,60,40,60,40,60,60,60,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,74.2,1,60.4,0,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"$100,001 to $150,000",English (USA)
44,10/10/2018 22:36,10,0.677169000000,m1v,Ward 44,Scarborough North,Man,1980,38,75,Very concerned,75,Not much snow in the winter.  Cooler winters.,Warm temperatures in Fall/Winter seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),NO TO: Provincial,NO TO: Federal,NO TO: None of the above,100,Yes,75,100,100,100,75,75,A significant impact,Not much of an impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,100,100,20,40,60,60,40,20,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Not very motivating,Verymotivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,NO TO: Twitter,Facebook,Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,82.5,1,67.3,0,Prefer not to say,#NULL!,"How many people, including yourself, live in your household?: Prefer not to say",#NULL!,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
45,10/10/2018 22:53,10,0.656777000000,M6P,Ward 17,Parkdale-High Park,Man,1962,56,75,Very concerned,50,Warmer summers    Extended summers,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),Provincial,Federal,NO TO: None of the above,0,No,50,100,100,75,100,100,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,A significant impact,A significant impact,Somewhat of an impact,Not much of an impact,80,60,40,40,60,80,60,60,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,67.5,0,70.1,1,Own,3,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
46,10/10/2018 23:10,10,0.779487000000,m1w,Ward 43,Scarborough-Agincourt,Woman,1986,32,75,Very concerned,50,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,50,100,100,75,100,75,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,80,80,80,80,60,100,60,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,77.5,1,74.75,1,Own,3,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
47,10/10/2018 23:29,10,0.641285000000,M2N,Ward 28,Willowdale,Man,1960,58,75,Very concerned,50,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),Provincial,Federal,NO TO: None of the above,0,No,75,75,75,75,100,75,A significant impact,Not much of an impact,Not much of an impact,Somewhat of an impact,A significant impact,Somewhat of an impact,Somewhat of an impact,60,60,60,60,60,80,60,60,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Townhouse/row house,#NULL!,,62.5,0,68.35,0,Own,5,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Some university,Prefer not to answer,English (USA)
49,10/11/2018 00:37,11,3.994485000000,m2n,Ward 29,Willowdale,Woman,1995,23,50,Very concerned,75,"Colder winters and hotter summers, random unusual snow falls or hail storms in the middle of summer.",Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),Provincial,Federal,NO TO: None of the above,100,No,75,100,100,100,100,75,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,A significant impact,80,80,80,40,100,100,60,80,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Not very motivating,Not very motivating,Not very motivating,Verymotivating,Incentives for home energy efficiency improvements,reward incentives,Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,70,1,79.9,1,Own,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
52,10/11/2018 01:18,11,0.677169000000,m1s,Ward 44,Scarborough North,Man,1988,30,100,Extremely concerned,75,"Extreme cold ruining buildings and trees, while lots of people suffering from heat strokes in the extreme heat.",Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,Change in foliage/drought/trees dying,Weather changes affecting health/infrastructure,#NULL!,#NULL!,Yes,NO TO: Municipal (City),Provincial,NO TO: Federal,NO TO: None of the above,100,No,100,100,100,50,75,100,A significant impact,No impact,Not much of an impact,Somewhat of an impact,A significant impact,No impact,Not much of an impact,80,100,40,80,20,100,60,100,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Not at all motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,Twitter,NO TO: Facebook,Instagram,City of Toronto e-newsletters / email,Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,95,1,84.6,1,Own,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Some university,"$60,001 to $80,000",English (USA)
53,10/11/2018 02:02,11,0.614390000000,m3c,Ward 33,Don Valley East,Man,1974,44,75,Very concerned,75,There has been a drastic change in climate in the past few years.,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,50,75,100,75,75,75,A significant impact,A significant impact,Somewhat of an impact,A significant impact,A significant impact,Not much of an impact,A significant impact,60,80,80,80,40,80,60,40,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,I don’t know much about this/it’s confusing,I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Streamlining recycling/compost programs,Recycling,Toronto.ca website,City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,82.5,1,66,0,Rent,6,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",4,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"Under $40,000",English (USA)
54,10/11/2018 02:07,11,3.892167000000,M3A,Ward 32,#NULL!,Man,1994,24,75,Very concerned,75,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,Don’t know,100,75,75,50,100,100,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,A significant impact,Somewhat of an impact,Not much of an impact,Somewhat of an impact,80,60,100,80,40,80,80,80,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,77.5,1,84.25,1,Prefer not to say,#NULL!,"How many people, including yourself, live in your household?: Prefer not to say",#NULL!,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Some university,Prefer not to answer,Chinese Simplified
55,10/11/2018 06:57,11,0.795624000000,M4S,Ward 26,Toronto-St. Paul's,Man,1986,32,100,Very concerned,75,Air quality levels and changing weather patterns,Air pollution/smog/poor air quality,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,Yes,Municipal (City),Provincial,Federal,NO TO: None of the above,100,No,100,100,100,25,100,100,A significant impact,A significant impact,Somewhat of an impact,A significant impact,A significant impact,Somewhat of an impact,Somewhat of an impact,80,60,80,40,60,80,100,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Not very motivating,Not very motivating,Not very motivating,Not very motivating,Not very motivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,95,1,83.2,1,Rent,3,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"$60,001 to $80,000",English (USA)
